"cursor-pointer href","w-14 src","block","inline-flex","inline-flex 2","inline-flex 3","text-sm"
"https://ethglobal.com/events/pragma-tokyo","https://storage.googleapis.com/ethglobal-api-production/events/j2h4t/logo/1678302376194_Frame%201%20(1).jpg","Pragma Tokyo","Apr 13th, 2023","Apr 13th, 2023","Summit",""
"https://ethglobal.com/events/cafe-tokyo","https://storage.googleapis.com/ethglobal-api-production/events/97e1r/logo/1680636668612_eg-logo.png","Cafe Tokyo","Apr 13th, 2023","Apr 13th, 2023","Co-working",""
"https://ethglobal.com/events/polygon-zk-summit","https://storage.googleapis.com/ethglobal-api-production/events/i4sra/logo/1679027449746_9McrmY41_400x400.jpg","Polygon ZK Day 2.0","Mar 27th, 2023","Mar 27th, 2023","Summit",""
"https://ethglobal.com/events/mevconomics-wtf","https://storage.googleapis.com/ethglobal-api-production/events/8nr3h/logo/1679361350482_mev-icon.svg","mevconomics.wtf","Mar 24th, 2023","Mar 24th, 2023","Summit",""
"https://ethglobal.com/events/scaling2023","https://storage.googleapis.com/ethglobal-api-production/events/of2r2/logo/1671503482706_scaling-ethereum-square-logo.svg","Scaling Ethereum 2023","Mar 10th, 2023","Mar 31st, 2023","Virtual",""
"https://ethglobal.com/events/spacewarp","https://storage.googleapis.com/ethglobal-api-production/events/c26ic/logo/1671227203465_sqlogo-spacewarp.svg","FVM Space Warp","Jan 20th, 2023","Feb 10th, 2023","Virtual","FVM SPACE WARP HACKATHON"
"https://ethindia.co/","https://storage.googleapis.com/ethglobal-api-production/events/8ezpi/logo/1653491622982_india-logo.jpg","ETHIndia 2022","Dec 2nd, 2022","Dec 4th, 2022","In-person","Asia’s Biggest Ethereum Hackathon"
"https://fevm.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/nog45/logo/1667427883890_FEVM-logo.png","Hack FEVM","Nov 18th, 2022","Nov 20th, 2022","Virtual","Be the First to Build"
"https://sf.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/441gg/logo/1669832226951_ethsf-sqlogo.svg","ETHSanFrancisco 2022","Nov 4th, 2022","Nov 6th, 2022","In-person",""
"https://bogota.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/70r6g/logo/1653491694265_bogota-logo.jpg","ETHBogotá","Oct 7th, 2022","Oct 9th, 2022","In-person",""
"https://online.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/h0uiy/logo/1653490725333_ethonline.png","ETHOnline 2022","Sep 2nd, 2022","Sep 28th, 2022","Virtual","Build the decentralized web"
"https://mexico.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/qcp2k/logo/1657881500109_mx-sq.jpg","ETHMexico","Aug 19th, 2022","Aug 21st, 2022","In-person","ETHGlobal returns to Latin America"
"https://zora.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/undefined/logo/1654567975736_tRdmbfBY_400x400.jpg","Metabolism","Aug 4th, 2022","Aug 10th, 2022","Virtual","Build the future creative on-chain ecosystem"
"https://fs.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/7w4m1/logo/1653490823519_hfs2.png","HackFS 2022","Jul 8th, 2022","Jul 29th, 2022","Virtual","Build the decentralized web"
"https://nyc.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/9j1bz/logo/1653492491831_nyc-logo%20(1).jpg","ETHNewYork 2022","Jun 24th, 2022","Jun 26th, 2022","In-person","Build the decentralized web"
"https://defi.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/vgzfq/logo/1652311441746_hm2.png","HackMoney 2022","May 6th, 2022","May 27th, 2022","Virtual","Build the decentralized web"
"https://amsterdam.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/htpmy/logo/1652232108136_ethamsterdam.png","ETHAmsterdam","Apr 22nd, 2022","Apr 24th, 2022","In-person","Build the decentralized web"
"https://dao.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/0kjoc/logo/1652207290857_daohacks.png","DAOHacks","Apr 8th, 2022","Apr 10th, 2022","Virtual",""
"https://lfgrow.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/bqvbq/logo/1652207319275_lfgrow.png","LFGrow","Mar 18th, 2022","Mar 30th, 2022","Virtual",""
"https://buildquest.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/pismi/logo/1652207336786_buildquest.png","BuildQuest","Mar 4th, 2022","Mar 16th, 2022","Virtual",""
"https://web3.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/5b9mq/logo/1652207364354_roadtoweb3.png","Road to Web3","Feb 3rd, 2022","Feb 8th, 2022","","The road to Web3."
"https://nft.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/qwtgy/logo/1652207575084_nfthack.png","NFTHack 2022","Jan 14th, 2022","Jan 16th, 2022","","Build the fair future 2022"
"https://polygonzk.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/xmz3s/logo/1652466416729_roadtoweb3.png","Polygon zk Day","Dec 9th, 2021","Dec 9th, 2021","Summit",""
"https://web3jam.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/u9sfm/logo/1652466429644_web3jam.png","Web3Jam","Nov 12th, 2021","Nov 24th, 2021","Virtual","Focused on decentralized media, Web3, and NFTs."
"https://unicode.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/a7j5u/logo/1652466450942_unicode.png","UniCode","Oct 29th, 2021","Nov 10th, 2021","Virtual","Building the DeFi ecosystem with Uniswap!"
"https://online.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/fcigu/logo/1652466472605_ethonline.png","ETHOnline 2021","Sep 17th, 2021","Oct 14th, 2021","Virtual","2021's largest Ethereum event"
"https://fs.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/4rrhm/logo/1652466507541_hfs2.png","HackFS 2021","Jul 30th, 2021","Aug 20th, 2021","Virtual","Create the Foundation of the Decentralized Web"
"https://defi.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/970xk/logo/1652466525532_hm2.png","HackMoney 2021","Jun 18th, 2021","Jul 9th, 2021","Virtual","The largest DeFi hackathon of 2021"
"https://web3weekend.ethglobal.com/","https://storage.googleapis.com/ethglobal-api-production/events/amv0e/logo/1652466541830_w3weekend.png","Web3 Weekend","May 28th, 2021","May 30th, 2021","","Connecting creatives with engineers to build a fair future"
"https://scaling.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/775dk/logo/1652466554778_scaling.png","Scaling Ethereum","Apr 9th, 2021","May 14th, 2021","Virtual","Build for the future"
"https://nft.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/jnbbq/logo/1652466576350_nfthack.png","NFTHack","Mar 19th, 2021","Mar 21st, 2021","","Build the fair future"
"https://marketmake.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/cmjs3/logo/1652466589229_marketmake.png","MarketMake","Jan 15th, 2021","Feb 5th, 2021","Virtual","Building the future of finance"
"https://ethonline.org/","https://storage.googleapis.com/ethglobal-api-production/events/zuuqy/logo/1652466602342_ethonline.png","ETHOnline","Oct 1st, 2020","Oct 31st, 2020","Virtual","2020's largest Ethereum event"
"https://hackfs.com/","https://storage.googleapis.com/ethglobal-api-production/events/2jr8r/logo/1652466624887_hackfs.png","HackFS","Jul 7th, 2020","Jul 31st, 2020","Virtual","Build the decentralized web"
"https://nyc.ethglobal.co/","https://storage.googleapis.com/ethglobal-api-production/events/0nd4f/logo/1652466645004_ethnewyork.png","ETHNYC","May 15th, 2020","May 17th, 2020","In-person",""
"https://ethglobal.online/","https://storage.googleapis.com/ethglobal-api-production/events/ten92/logo/1652466729991_hackmoney.png","HackMoney","Apr 24th, 2020","May 24th, 2020","Virtual","The largest DeFi hackathon"
"https://ethlondon.com/","https://storage.googleapis.com/ethglobal-api-production/events/ap395/logo/1652466746573_ethlondon.jpeg","ETHLondonUK","Feb 28th, 2020","Mar 1st, 2020","In-person",""
"https://ethwaterloo.com/","https://storage.googleapis.com/ethglobal-api-production/events/r8arx/logo/1652466762385_ethwaterloo-2.png","ETHWaterloo 2019","Nov 8th, 2019","Nov 10th, 2019","In-person",""
"https://eth.boston/","https://storage.googleapis.com/ethglobal-api-production/events/1wpy4/logo/1652466781497_ethboston.png","ETHBoston","Sep 6th, 2019","Sep 8th, 2019","In-person",""
"https://ethnewyork.com/","https://storage.googleapis.com/ethglobal-api-production/events/12pq2/logo/1652467224312_ethnewyork.png","ETHNewYork","May 17th, 2019","May 19th, 2019","In-person",""
"https://ethcapetown.com/","https://storage.googleapis.com/ethglobal-api-production/events/utojk/logo/1660748399003_ethcapetown.jpeg","ETHCapeTown","Apr 19th, 2019","Apr 21st, 2019","In-person",""
"https://ethparis.com/","https://dl.airtable.com/.attachments/66e6348b9768fa5ec2308a5e415521b8/451a2611/1B_HqJOJTBNIWngWDhf_gkA.png","ETHParis","Mar 7th, 2019","Mar 10th, 2019","In-person",""
"https://ethsingapore.co/","https://storage.googleapis.com/ethglobal-api-production/events/y3nrq/logo/1660748384641_ethsingapore.jpeg","ETHSingapore","Dec 7th, 2018","Dec 9th, 2018","In-person",""
"https://ethsanfrancisco.com/","https://storage.googleapis.com/ethglobal-api-production/events/sbuch/logo/1652467246175_ethsf.jpeg","ETHSanFrancisco","Oct 5th, 2018","Oct 7th, 2018","In-person",""
"https://ethwaterloo.com/","https://storage.googleapis.com/ethglobal-api-production/events/7ish3/logo/1652467271563_ethwaterloo.jpeg","ETHWaterloo","Oct 13th, 2017","Oct 15th, 2017","In-person",""
